Ranked list of top compounds using CMAP dataset
Rank	Score	Type	ID	Name	Description
2508	8.7	cp	BRD-K56334280	amonafide	Topoisomerase inhibitor
2509	8.7	cp	BRD-K43736954	cortisone	Glucocorticoid receptor agonist
2510	8.69	cp	BRD-K40758068	efavirenz	HIV protease inhibitor
2512	8.67	cp	BRD-K56001384	antimycin-a	ATP synthase inhibitor
2515	8.63	cp	BRD-K91442916	CAM-9-026	Membrane metalloendopeptidase inhibitor
2517	8.56	cp	BRD-K25079130	avrainvillamide-analog-4	nucleophosmin inhibitor
2518	8.56	cp	BRD-K62996583	lidoflazine	Calcium channel blocker
2523	8.53	cp	BRD-K11636097	JNJ-7706621	CDK inhibitor
2526	8.47	cp	BRD-A85280935	quinpirole	Dopamine receptor agonist
2529	8.46	cp	BRD-K26801045	pipamperone	Dopamine receptor antagonist
2533	8.42	cp	BRD-K55034111	pefloxacin	Bacterial DNA gyrase inhibitor
2535	8.41	cp	BRD-K63068307	ZSTK-474	PI3K inhibitor
2536	8.39	cp	BRD-A60245366	AS-601245	JNK inhibitor
2537	8.38	cp	BRD-K99029477	prometon	Photosynthesis inhibitor
2538	8.37	cp	BRD-A35033682	eriodictyol	Cytochrome P450 inhibitor
2539	8.35	cp	BRD-K42573370	avrainvillamide-analog-2	nucleophosmin inhibitor
2540	8.35	cp	BRD-K21733600	rofecoxib	Cyclooxygenase inhibitor
2543	8.34	cp	BRD-K19227686	phenolphthalein	Indicator dye
2546	8.32	cp	BRD-A51829654	BRL-15572	Serotonin receptor antagonist
2551	8.28	cp	BRD-A02990301	lofexidine	Adrenergic receptor agonist
2552	8.28	cp	BRD-K40902647	vincamine	Adrenergic receptor antagonist
2553	8.28	cp	BRD-K77171813	proxyfan	Histamine receptor modulator
2554	8.28	cp	BRD-K52989797	clomipramine	Serotonin transporter inhibitor (SERT)
2555	8.28	cp	BRD-K63675182	triflupromazine	Dopamine receptor antagonist
2561	8.26	cp	BRD-A19053259	pseudopelletierine	Anthelmintic
2562	8.26	cp	BRD-K94080537	diethyltoluamide	DEET activator of fly antenna ionotropic receptor IR40a
2570	8.2	cp	BRD-A61858259	CAY-10415	Insulin sensitizer
2571	8.19	cp	BRD-U08759356	EI-346-erlotinib-analog	EGFR inhibitor
2572	8.19	cp	BRD-K00662280	CL-218872	GABA receptor agonist
2575	8.16	cp	BRD-K46317332	proadifen	Nitric oxide synthase inhibitor
2578	8.15	cp	BRD-K12762134	XAV-939	Tankyrase inhibitor
2580	8.14	cp	BRD-A20589515	dihydroxyphenylglycine	Glutamate receptor agonist
2581	8.14	cp	BRD-A17535965	gelsemine	Acetylcholine receptor antagonist
2586	8.09	cp	BRD-K15834839	lobendazole	Anthelmintic
2590	8.04	cp	BRD-K23583188	lavendustin-a	EGFR inhibitor
2591	8.04	cp	BRD-K03440695	boldine	Acetylcholine receptor antagonist
2592	8.03	cp	BRD-K32610195	androstenedione	Cytochrome P450 inhibitor
2594	7.98	cp	BRD-K83023055	GR-135531	Melatonin receptor agonist
2595	7.97	cp	BRD-K05434375	HA-1004	Calcium channel blocker
2599	7.91	cp	BRD-K14618467	IKK-16	IKK inhibitor
2601	7.9	cp	BRD-K43887077	dopamine	Dopamine receptor agonist
2602	7.88	cp	BRD-K88677950	PD-198306	MAP kinase inhibitor
2603	7.88	cp	BRD-K50387473	XMD-892	MAP kinase inhibitor
2605	7.86	cp	BRD-A84702196	penicillin	Bacterial cell wall synthesis inhibitor
2606	7.86	cp	BRD-K51290057	SA-792709	Retinoid receptor agonist
2607	7.85	cp	BRD-A68039575	liquiritigenin	Aromatase inhibitor
2608	7.84	cp	BRD-K63343048	orlistat	Lipase inhibitor
2610	7.83	cp	BRD-K06234293	LY-364947	TGF beta receptor inhibitor
2614	7.8	cp	BRD-K52172416	anastrozole	Aromatase inhibitor
2616	7.79	cp	BRD-K32164935	tolazamide	ATP channel blocker
2617	7.78	cp	BRD-A64227845	SKF-77434	Dopamine receptor agonist
2622	7.73	cp	BRD-A11813248	AM-92016	Potassium channel blocker
2629	7.64	cp	BRD-K06159959	CCMQ	Inhibitor of the binding of homoquinolinic acid to non-NMDA sensitive sites
2630	7.64	cp	BRD-K76872913	benzanthrone	Aromatic hydrocarbon derivative
2632	7.58	cp	BRD-K99411983	lumicolchicine	Colchicine isomer, non-binder of microtubules
2633	7.58	cp	BRD-A37776212	ICI-204448	Opioid receptor agonist
2634	7.56	cp	BRD-A98299281	velnacrine	cholinesterase inhibitor
2642	7.47	cp	BRD-K20482099	rutin	Antioxidant
2643	7.47	cp	BRD-A80213327	NSC-23766	Ras GTPase inhibitor
2655	7.36	cp	BRD-A62434282	goserelin	Gonadotropin releasing factor hormone receptor agonist
2657	7.34	cp	BRD-A39052811	mosapride	Serotonin receptor agonist
2660	7.31	cp	BRD-A62890442	3-methyl-GABA	GABA aminotransferase activator
2661	7.29	cp	BRD-K21667562	AM-404	Cyclooxygenase inhibitor
2663	7.27	cp	BRD-K25310650	ormetoprim	Bacterial antifolate
2669	7.22	cp	BRD-K06895174	cisapride	Serotonin receptor agonist
2670	7.22	cp	BRD-K97056771	HY-11007	BCR-ABL kinase inhibitor
2673	7.2	cp	BRD-K65417056	meprylcaine	Local anesthetic
2675	7.19	cp	BRD-A35588707	teniposide	Topoisomerase inhibitor
2677	7.17	cp	BRD-K70281171	U-99194	Dopamine receptor antagonist
2681	7.1	cp	BRD-K33193182	methylnorlichexanthone	Aurora kinase inhibitor
2682	7.09	cp	BRD-A43671941	oxprenolol	Adrenergic receptor antagonist
2684	7.06	cp	BRD-K53263234	CITCO	CAR agonist
2687	7.04	cp	BRD-K04046242	equilin	Estrogen receptor agonist
2691	7	cp	BRD-K28667793	pyrazinamide	Fatty acid synthase inhibitor
2694	6.98	cp	BRD-A72441487	stiripentol	GABA uptake inhibitor
2697	6.94	cp	BRD-U68942961	JW-7-24-1	LCK Inhibitor
2701	6.89	cp	BRD-A63667919	methylergometrine	Dopamine receptor antagonist
2703	6.88	cp	BRD-A84389091	L-655708	GABA receptor inverse agonist
2708	6.85	cp	BRD-K45252063	clofibrate	PPAR receptor agonist
2712	6.82	cp	BRD-K87049188	fusaric-acid	Dopamine beta hydroxylase inhibitor
2713	6.81	cp	BRD-A62057054	MDL-11939	Serotonin receptor antagonist
2714	6.8	cp	BRD-K22503835	scriptaid	HDAC inhibitor
2715	6.8	cp	BRD-K08640512	RS-100329	Adrenergic receptor antagonist
2720	6.77	cp	BRD-K05737787	isoeugenol	Nitric oxide production inhibitor
2728	6.74	cp	BRD-K52911425	GDC-0941	PI3K inhibitor
2732	6.68	cp	BRD-K58772419	AZD-6482	PI3K inhibitor
2733	6.68	cp	BRD-A65597028	RX-821002	Adrenergic receptor antagonist
2738	6.66	cp	BRD-K80970344	pyrrolidine-dithiocarbamate	NFkB pathway inhibitor
2739	6.64	cp	BRD-K16277217	piperacetazine	Dopamine receptor antagonist
2740	6.64	cp	BRD-A71203467	l-stepholidine	Dopamine receptor antagonist
2744	6.62	cp	BRD-K12516989	zaprinast	Phosphodiesterase inhibitor
2745	6.62	cp	BRD-K11107424	tiotidine	Histamine receptor antagonist
2749	6.59	cp	BRD-A42571354	cetirizine	Histamine receptor antagonist
2753	6.55	cp	BRD-K52751261	TAK-715	p38 MAPK inhibitor
2757	6.51	cp	BRD-K35573744	erbstatin-analog	EGFR inhibitor
2759	6.49	cp	BRD-K16508793	diazepam	Benzodiazepine receptor agonist
2760	6.49	cp	BRD-K08806317	timolol	Adrenergic receptor antagonist
2763	6.48	cp	BRD-A18917088	estradiol	Contraceptive agent
2767	6.45	cp	BRD-K89125793	tinidazole	Antiprotozoal
2770	6.44	cp	BRD-K67080878	milrinone	Phosphodiesterase inhibitor
2774	6.41	cp	BRD-A16754160	ampicillin	Bacterial cell wall synthesis inhibitor
2775	6.4	cp	BRD-A66435872	HTMT	Histamine receptor agonist
2776	6.39	cp	BRD-K30197592	5-methoxytryptamine	Serotonin receptor agonist
2777	6.39	cp	BRD-A27887842	prednisolone	Glucocorticoid receptor agonist
2786	6.31	cp	BRD-K53665955	MK-5108	Aurora kinase inhibitor
2788	6.31	cp	BRD-A05352148	ipratropium	Acetylcholine receptor antagonist
2792	6.25	cp	BRD-K97309399	thiothixene	Dopamine receptor antagonist
2797	6.23	cp	BRD-A76279427	myriocin	Serine palmitoyltransferase inhibitor
2799	6.21	cp	BRD-K96263742	GW-7647	PPAR receptor agonist
2800	6.21	cp	BRD-K39746403	erythromycin	NFkB pathway inhibitor
2801	6.2	cp	BRD-K91315211	betahistine	Histamine receptor agonist
2802	6.2	cp	BRD-M64432851	sunitinib	FLT3 inhibitor
2806	6.17	cp	BRD-K45330754	diethylstilbestrol	Estrogen receptor agonist
2807	6.16	cp	BRD-K62289640	lylamine	Cannabinoid receptor agonist
2809	6.14	cp	BRD-K46211610	tolazoline	Adrenergic receptor antagonist
2810	6.11	cp	BRD-K07212038	selinidin	Mast cell stabilizer
2812	6.1	cp	BRD-A96799240	4-hydroxyretinoic-acid	Retinoid receptor binder
2814	6.08	cp	BRD-K71860425	CDK2-5-inhibitor	CDK inhibitor
2816	6.06	cp	BRD-A06352418	terfenadine	Histamine receptor antagonist
2821	6.03	cp	BRD-K54987996	CAY-10578	Casein kinase inhibitor
2828	5.97	cp	BRD-K79877282	PF-543	Sphingosine kinase inhibitor
2831	5.95	cp	BRD-K82795137	loratadine	Histamine receptor antagonist
2833	5.95	cp	BRD-A86044036	flurbiprofen	Cyclooxygenase inhibitor
2835	5.94	cp	BRD-A87719232	naproxen	Cyclooxygenase inhibitor
2837	5.94	cp	BRD-A70083328	secnidazole	Acetylcholinesterase inhibitor
2838	5.92	cp	BRD-A01787639	naftopidil	Adrenergic receptor antagonist
2840	5.88	cp	BRD-K51918615	iodophenpropit	Histamine receptor antagonist
2844	5.86	cp	BRD-A91866971	SQ-29548	Thromboxane receptor antagonist
2846	5.86	cp	BRD-K63430059	methoxsalen	DNA synthesis inhibitor
2847	5.86	cp	BRD-K22662435	ganciclovir	DNA polymerase inhibitor
2848	5.84	cp	BRD-K89402695	L-655240	Thromboxane receptor antagonist
2851	5.79	cp	BRD-A02189320	met-leu-phe	-666
2855	5.77	cp	BRD-K39733634	L-161982	Prostanoid receptor antagonist
2869	5.61	cp	BRD-K33459542	ditolylguanidine	Sigma receptor agonist
2870	5.6	cp	BRD-K75699339	rizatriptan	Serotonin receptor agonist
2872	5.59	cp	BRD-A19248578	latrunculin-b	Actin polymerization inhibitor
2875	5.57	cp	BRD-K14643723	4-(2-Amino-ethyl)-benzenesulfonamide	carbonic anhydrase inhibitor
2876	5.56	cp	BRD-K51941867	LM-1685	Cyclooxygenase inhibitor
2877	5.56	cp	BRD-K65285700	BRD-K65285700	Cannabinoid receptor agonist
2879	5.56	cp	BRD-K91263825	nortriptyline	Tricyclic antidepressant
2880	5.55	cp	BRD-A48720949	testosterone	androgen receptor agonist
2888	5.5	cp	BRD-K67977190	eprosartan	Angiotensin receptor antagonist
2891	5.47	cp	BRD-K99595596	salsolinol	Monoamine oxidase inhibitor
2893	5.47	cp	BRD-A65282128	cefazolin	Bacterial cell wall synthesis inhibitor
2895	5.43	cp	BRD-K90027355	spironolactone	Mineralocorticoid receptor antagonist
2897	5.42	cp	BRD-K60038276	irbesartan	Angiotensin receptor antagonist
2900	5.39	cp	BRD-K18779551	bifemelane	Acetylcholine release stimulant
2901	5.39	cp	BRD-K09499853	KU-0060648	DNA dependent protein kinase inhibitor
2902	5.38	cp	BRD-A17453586	MDL-72832	Serotonin receptor agonist
2905	5.36	cp	BRD-K37991163	paroxetine	Selective serotonin reuptake inhibitor (SSRI)
2908	5.34	cp	BRD-K13926615	vardenafil	Phosphodiesterase inhibitor
2911	5.32	cp	BRD-K57718010	pentylenetetrazol	GABA receptor antagonist
2914	5.31	cp	BRD-A87848830	bimatoprost	Prostanoid receptor agonist
2915	5.29	cp	BRD-K92726801	hydrastinine	Haemostatic agent
2917	5.29	cp	BRD-K95609758	BMS-191011	Potassium channel activator
2923	5.26	cp	BRD-K93645900	tadalafil	Phosphodiesterase inhibitor
2936	5.13	cp	BRD-K89274813	DMP-543	Acetylcholine release stimulant
2939	5.11	cp	BRD-A93206962	L-755507	Adrenergic receptor agonist
2942	5.11	cp	BRD-K50398167	meclofenamic-acid	Cyclooxygenase inhibitor
2945	5.09	cp	BRD-K85985071	ellipticine	Topoisomerase inhibitor
2948	5.06	cp	BRD-K68867920	quetiapine	Dopamine receptor antagonist
2950	5.05	cp	BRD-A55416093	colforsin	Adenylyl cyclase activator
2952	5.04	cp	BRD-K77771411	moxonidine	Imidazoline receptor agonist
2953	5.04	cp	BRD-A95513702	androsta-1,4-dien-3,17-dione	Aromatase inhibitor
2954	5.04	cp	BRD-A41995253	brucine	Glycine receptor antagonist
2955	5.03	cp	BRD-K54210043	NS-1619	Calcium channel activator
2959	5.01	cp	BRD-K06335600	tizanidine	Adrenergic receptor agonist
2960	5.01	cp	BRD-A02333338	cyclopamine	Smoothened receptor antagonist
2963	4.99	cp	BRD-K26657438	imiquimod	TLR agonist
2965	4.97	cp	BRD-A24191444	ifenprodil	Adrenergic receptor antagonist
2966	4.97	cp	BRD-K67277431	picotamide	Thromboxane receptor antagonist
2970	4.92	cp	BRD-K29582115	ziprasidone	Dopamine receptor antagonist
2975	4.9	cp	BRD-A17411484	carprofen	Cyclooxygenase inhibitor
2976	4.89	cp	BRD-K15588452	R-96544	Serotonin receptor antagonist
2979	4.88	cp	BRD-K18909381	CGS-12066B	Serotonin receptor agonist
2981	4.87	cp	BRD-K95402279	geranylgeraniol	Farnesyltransferase inhibitor
2984	4.86	cp	BRD-K67680372	CI-966	GAT inhibitor
2986	4.84	cp	BRD-K27450477	EHNA	Adenosine deaminase inhibitor
2990	4.79	cp	BRD-A49734948	foliosidine	Plant alkaloid
2992	4.79	cp	BRD-K33453211	levocabastine	Histamine receptor antagonist
2994	4.77	cp	BRD-K64614248	salicin	Anti-inflammatory
3000	4.74	cp	BRD-A80574334	oxalomalic-acid	Isocitrate dehydrogenase inhibitor
3001	4.74	cp	BRD-K63641886	cefuroxime	Bacterial cell wall synthesis inhibitor
3006	4.72	cp	BRD-K89152108	liothyronine	Thyroid hormone stimulant
3007	4.71	cp	BRD-K11558771	droxinostat	HDAC inhibitor
3009	4.69	cp	BRD-K98769987	flumazenil	Benzodiazepine receptor antagonist
3010	4.68	cp	BRD-K06854232	AM-580	Retinoid receptor agonist
3012	4.66	cp	BRD-K93201660	ML-7	Myosin light chain kinase inhibitor
3021	4.62	cp	BRD-K64341947	CFM-1571	Guanylate cyclase activator
3024	4.58	cp	BRD-K28806945	L-750667	Dopamine receptor antagonist
3029	4.58	cp	BRD-K44497846	enalapril	ACE inhibitor
3033	4.55	cp	BRD-K14993104	bemegride	Chemoreceptor agonist
3035	4.54	cp	BRD-K49448285	bisindolylmaleimide	CDK inhibitor
3039	4.52	cp	BRD-K31611373	fluprostenol	Prostanoid receptor agonist
3050	4.47	cp	BRD-K11163873	phenanthridone	PARP inhibitor
3059	4.44	cp	BRD-A64228451	terreic-acid	BTK inhibitor
3060	4.44	cp	BRD-A28970875	puromycin	Protein synthesis inhibitor
3065	4.41	cp	BRD-A01320529	salmeterol	Adrenergic receptor agonist
3066	4.4	cp	BRD-A01317026	7,8-dihydro-L-biopterin	Dihydroneopterin aldolase inhibitor
3067	4.4	cp	BRD-K26373640	IKK-2-inhibitor	IKK inhibitor
3068	4.39	cp	BRD-K61691971	avrainvillamide-analog-1	nucleophosmin inhibitor
3069	4.39	cp	BRD-K81169441	cerivastatin	HMGCR inhibitor
3072	4.38	cp	BRD-K85090592	pilocarpine	Acetylcholine receptor agonist
3075	4.34	cp	BRD-K37206356	rhamnetin	HDAC inhibitor
3078	4.33	cp	BRD-A03216249	mepivacaine	Potassium channel blocker
3079	4.33	cp	BRD-A75935363	atracurium	Acetylcholine receptor antagonist
3080	4.33	cp	BRD-K92758126	gibberellic-acid	NFkB pathway inhibitor
3081	4.33	cp	BRD-A84189516	baccatin-III	Paclitaxel precursor
3082	4.32	cp	BRD-A92826379	lupanine	Sodium channel blocker
3088	4.3	cp	BRD-A47598013	citalopram	Serotonin reuptake inhibitor
3092	4.26	cp	BRD-K38903228	hesperidin	Flavanone glycoside
3097	4.23	cp	BRD-K02992638	lamivudine	Nucleoside reverse transcriptase inhibitor
3105	4.19	cp	BRD-K60298136	ITE	Aryl hydrocarbon receptor agonist
3114	4.16	cp	BRD-A50684349	fenoldopam	Dopamine receptor agonist
3118	4.12	cp	BRD-K48932581	cetraxate	Mucus protecting agent
3119	4.12	cp	BRD-K09859624	methantheline	Acetylcholine receptor antagonist
3124	4.1	cp	BRD-K37846922	3,3'-diindolylmethane	CHK inhibitor
3128	4.07	cp	BRD-K10843433	phenylbutazone	Cyclooxygenase inhibitor
3129	4.07	cp	BRD-A71459254	cymarin	ATPase inhibitor
3135	4.04	cp	BRD-K53972329	ruxolitinib	JAK inhibitor
3138	4.03	cp	BRD-K59574735	ubenimex	Leukotriene inhibitor
3141	4.01	cp	BRD-A61392169	eliprodil	Glutamate receptor antagonist
3145	3.98	cp	BRD-K54416256	methimazole	Antithyroid
3146	3.98	cp	BRD-K29653726	topiramate	Carbonic anhydrase inhibitor
3147	3.98	cp	BRD-K10467831	tibolone	Androgen receptor agonist
3148	3.98	cp	BRD-K99063460	didanosine	Nucleoside reverse transcriptase inhibitor
3149	3.98	cp	BRD-K76568384	PHTPP	Estrogen receptor antagonist
3151	3.95	cp	BRD-K96862998	pirfenidone	TGF beta receptor inhibitor
3153	3.95	cp	BRD-K73196317	urapidil	Adrenergic receptor antagonist
3154	3.94	cp	BRD-K28075147	biochanin-a	Estrogen receptor agonist
3156	3.93	cp	BRD-M72442222	vicriviroc	CC chemokine receptor antagonist
3157	3.92	cp	BRD-A71157293	fursultiamine	Vitamin B
3160	3.91	cp	BRD-A71262238	nafadotride	Dopamine receptor antagonist
3163	3.91	cp	BRD-K00317371	RITA	MDM inhibitor
3164	3.9	cp	BRD-K99107520	felbamate	Glutamate receptor antagonist
3167	3.89	cp	BRD-A67862938	naftidrofuryl	Adrenergic receptor antagonist
3176	3.84	cp	BRD-K09397065	SR-57227A	Serotonin receptor agonist
3179	3.83	cp	BRD-K43978949	PIT	Purinergic receptor antagonist
3180	3.83	cp	BRD-K27710560	splitomycin	SIRT inhibitor
3181	3.83	cp	BRD-A84174393	meloxicam	Cyclooxygenase inhibitor
3182	3.82	cp	BRD-A09161221	nomilin	HSP inhibitor
3184	3.81	cp	BRD-A49358627	ciprofibrate	PPAR receptor agonist
3193	3.77	cp	BRD-K36965586	m-chlorophenylbiguanide	Serotonin receptor agonist
3194	3.76	cp	BRD-K43797669	genistein	Tyrosine kinase inhibitor
3198	3.74	cp	BRD-K04210847	tamoxifen	Estrogen receptor antagonist
3206	3.7	cp	BRD-K55044200	amoxicillin	Penicillin binding protein inhibitor
3207	3.68	cp	BRD-K96119599	leucodin	Melanin inhibitor
3210	3.66	cp	BRD-K64857848	XMD-885	Leucine rich repeat kinase inhibitor
3211	3.66	cp	BRD-A24122750	saclofen	GABA receptor antagonist
3212	3.66	cp	BRD-K06221026	DUP-697	Cyclooxygenase inhibitor
3216	3.63	cp	BRD-A67981824	cefotaxime	Bacterial cell wall synthesis inhibitor
3224	3.61	cp	BRD-K95676198	JAK3-inhibitor-V	JAK inhibitor
3228	3.59	cp	BRD-A69512159	carbidopa	Aromatic L-amino acid decarboxylase inhibitor
3232	3.56	cp	BRD-A83892713	rifampicin	RNA polymerase inhibitor
3233	3.56	cp	BRD-K97509413	coumestrol	Estrogen receptor agonist
3234	3.56	cp	BRD-A14574269	UB-165	Acetylcholine receptor agonist
3235	3.56	cp	BRD-K31792052	pifithrin	Interleukin receptor antagonist
3236	3.56	cp	BRD-K32584078	BML-257	AKT inhibitor
3240	3.54	cp	BRD-A99833829	bethanechol	Acetylcholine receptor agonist
3242	3.52	cp	BRD-K80725821	RS-16566	Serotonin receptor antagonist
3243	3.52	cp	BRD-K43245338	MDL-28170	Calpain inhibitor
3246	3.5	cp	BRD-K59753853	MDL-29951	Glutamate receptor antagonist
3250	3.49	cp	BRD-A32164164	methyllycaconitine	Acetylcholine receptor antagonist
3251	3.49	cp	BRD-K52459643	prostaglandin-e1	Prostanoid receptor agonist
3261	3.45	cp	BRD-K94441233	mevastatin	HMGCR inhibitor
3268	3.43	cp	BRD-K36153907	KU-C103885	Cystic fibrosis transmembrane conductance regulator inhibitor
3270	3.42	cp	BRD-K20986251	lithocholic-acid	FXR antagonist
3277	3.39	cp	BRD-K43405658	tyrphostin-AG-527	Protein tyrosine kinase inhibitor
3287	3.33	cp	BRD-K24538644	KUC104502N	-666
3294	3.31	cp	BRD-K89046952	ciclacillin	Bacterial cell wall synthesis inhibitor
3296	3.3	cp	BRD-K81473089	tacrine	Acetylcholinesterase inhibitor
3302	3.28	cp	BRD-K39944607	ochratoxin-a	Phenylalanyl tRNA synthetase inhibitor
3303	3.28	cp	BRD-A04668240	CGP-52432	GABA receptor antagonist
3313	3.24	cp	BRD-K30097969	pitavastatin	HMGCR inhibitor
3322	3.21	cp	BRD-K47943470	tyrphostin-51	EGFR inhibitor
3330	3.17	cp	BRD-K62374253	rufloxacin	Bacterial DNA gyrase inhibitor
3331	3.17	cp	BRD-A12560204	nitrendipine	Calcium channel blocker
3332	3.17	cp	BRD-K32836707	CAY-10577	Casein kinase inhibitor
3336	3.14	cp	BRD-K10466330	AVA	Nucleophosmin inhibitor
3337	3.14	cp	BRD-A56987319	SQ-22536	Adenylyl cyclase inhibitor
3339	3.12	cp	BRD-K30743633	TCPOBOP	CAR agonist
3346	3.08	cp	BRD-K95237249	probenecid	Uricosuric blocker
3347	3.07	cp	BRD-K64044582	linoleamide	ACAT inhibitor
3348	3.07	cp	BRD-A08709697	heliotrine	Pyrrolizidine alkaloid
3352	3.05	cp	BRD-K65639003	icariin	Phosphodiesterase inhibitor
3356	3.03	cp	BRD-A66199457	asiaticoside	Antineoplastic
3364	3.01	cp	BRD-K07881437	danusertib	Aurora kinase inhibitor
3368	3	cp	BRD-K37194137	III606050	Cytochrome P450 inhibitor
3371	2.97	cp	BRD-K91336023	mesulergine	Dopamine receptor agonist
3377	2.96	cp	BRD-K24859147	KIN001-242	Protein kinase inhibitor
3378	2.96	cp	BRD-K11373525	ZD-7155	Angiotensin receptor antagonist
3379	2.96	cp	BRD-K69837166	trap-101	Nociceptin/orphanin FQ (NOP) receptor antagonist
3380	2.96	cp	BRD-A76093993	cromakalim	Potassium channel activator
3385	2.96	cp	BRD-K66615216	moxifloxacin	Bacterial DNA gyrase inhibitor
3391	2.92	cp	BRD-K18619710	digoxigenin	Steroid
3397	2.91	cp	BRD-K93280214	gabazine	GABA receptor antagonist
3398	2.9	cp	BRD-K99447003	enalaprilat	ACE inhibitor
3399	2.89	cp	BRD-K01649396	indatraline	Norepinephrine transporter inhibitor
3407	2.86	cp	BRD-A53077924	tianeptine	Selective serotonin reuptake enhancer (SSRE)
3408	2.85	cp	BRD-K68095457	palmitoylethanolamide	Cannabinoid receptor agonist
3410	2.84	cp	BRD-A80638690	floxuridine	DNA synthesis inhibitor
3411	2.83	cp	BRD-K36324071	NF-449	Purinergic receptor antagonist
3413	2.82	cp	BRD-K84085265	CG-930	JNK inhibitor
3414	2.82	cp	BRD-K01902415	pirinixic-acid	PPAR receptor agonist
3421	2.81	cp	BRD-A62021152	WAY-161503	Serotonin receptor agonist
3433	2.78	cp	BRD-K15502390	nevirapine	Reverse transcriptase inhibitor
3438	2.75	cp	BRD-K93331255	lypressin	Vasopressin receptor agonist
3439	2.75	cp	BRD-K48029790	OBAA	Phospholipase inhibitor
3453	2.71	cp	BRD-A22256192	terazosin	Adrenergic receptor antagonist
3460	2.68	cp	BRD-A24543851	nornicotine	Acetylcholine receptor agonist
3461	2.68	cp	BRD-K71731651	PNU-120596	Acetylcholine receptor agonist
3465	2.68	cp	BRD-A24514565	warfarin	Vitamin K antagonist
3466	2.66	cp	BRD-K06024458	n-arachidonyl-GABA	cannabinoid receptor agonist
3467	2.66	cp	BRD-A85234536	N6-cyclopentyladenosine	Adenosine receptor agonist
3472	2.65	cp	BRD-K21350491	phenamil	TRPV antagonist
3477	2.64	cp	BRD-K96354014	nifedipine	Calcium channel blocker
3490	2.59	cp	BRD-K60640630	mometasone	Glucocorticoid receptor agonist
3496	2.57	cp	BRD-A23359898	sibutramine	Serotonin reuptake inhibitor
3497	2.57	cp	BRD-A37817666	picrotoxin	GABA receptor antagonist
3498	2.57	cp	BRD-K31912990	CGP-71683	Neuropeptide receptor antagonist
3520	2.49	cp	BRD-K52735702	cefdinir	Bacterial cell wall synthesis inhibitor
3521	2.47	cp	BRD-K14681867	somatostatin	Somatostatin receptor agonist
3522	2.47	cp	BRD-K62792802	LY-83583	Guanylyl cyclase inhibitor
3523	2.47	cp	BRD-K95899059	LY-344864	Serotonin receptor agonist
3524	2.47	cp	BRD-K99946902	hexylresorcinol	Local anesthetic
3543	2.43	cp	BRD-K47323024	methapyrilene	Histamine receptor antagonist
3546	2.42	cp	BRD-A09472452	flecainide	Sodium channel blocker
3553	2.4	cp	BRD-K16621777	enobosarm	Androgen receptor modulator
3554	2.4	cp	BRD-K04185004	oxybuprocaine	Local anesthetic
3555	2.4	cp	BRD-K45033733	famciclovir	DNA polymerase inhibitor
3556	2.4	cp	BRD-K53857191	risperidone	Dopamine receptor antagonist
3557	2.38	cp	BRD-A31801025	formestane	Aromatase inhibitor
3568	2.36	cp	BRD-A51182606	chloramphenicol	Protein synthesis inhibitor
3569	2.36	cp	BRD-K59570838	homoveratrylamine	Dopamine analog
3570	2.36	cp	BRD-A95696066	nisoxetine	Norepinephrine reuptake inhibitor
3571	2.36	cp	BRD-A66927094	nemonapride	Dopamine receptor antagonist
3572	2.36	cp	BRD-K36395411	SB-206553	Serotonin receptor antagonist
3573	2.36	cp	BRD-K68402494	ML-9	Myosin light chain kinase inhibitor
3574	2.36	cp	BRD-K68264559	brimonidine	Adrenergic receptor agonist
3578	2.33	cp	BRD-K21853356	RG-14620	EGFR inhibitor
3579	2.33	cp	BRD-K46441700	GR-55562	Serotonin receptor antagonist
3580	2.33	cp	BRD-A05186015	bupropion	Dopamine uptake inhibitor
3582	2.32	cp	BRD-K51662849	ilomastat	Matrix metalloprotease inhibitor
3596	2.29	cp	BRD-K85242180	beta-CCP	Indoleamine 2,3-dioxygenase inhibitor
3597	2.29	cp	BRD-K76775527	nimesulide	Cyclooxygenase inhibitor
3598	2.29	cp	BRD-K28137194	loreclezole	GABA receptor agonist
3599	2.29	cp	BRD-K45861246	azaperone	Dopamine receptor antagonist
3602	2.29	cp	BRD-A26711594	nicardipine	Calcium channel blocker
3603	2.29	cp	BRD-K67043667	altretamine	DNA synthesis inhibitor
3605	2.28	cp	BRD-A30205217	ethotoin	Hydantoin antiepileptic
3611	2.26	cp	BRD-K59331372	SB-366791	TRPV antagonist
3612	2.26	cp	BRD-K54704028	BAY-36-7620	Glutamate receptor antagonist
3613	2.26	cp	BRD-K06467078	corynanthine	Adrenergic receptor antagonist
3618	2.26	cp	BRD-K15592317	CP466722	ATM kinase inhibitor
3619	2.25	cp	BRD-A83695761	chromanol	Potassium channel blocker
3626	2.23	cp	BRD-K54233340	dorsomorphin	AMPK inhibitor
3631	2.22	cp	BRD-K85402309	dovitinib	EGFR inhibitor
3632	2.22	cp	BRD-K28120222	parthenolide	NFkB pathway inhibitor
3633	2.22	cp	BRD-K82255054	propofol	GABA receptor agonist
3634	2.22	cp	BRD-K45479396	BP-554	Serotonin receptor agonist
3638	2.22	cp	BRD-K68191783	ALW-II-38-3	Ephrin inhibitor
